date,player_name,team,opponent,position,stat,edge,grade,bucket,is_valid,is_combo,total_points,total_conditions,pass_rate,hitrate,hitrate_source,season_avg,games_played,ud_line,ud_over_odds,ud_under_odds,adaptive_multiplier,n_zone_conditions,n_playtype_conditions,details
2026-04-08,Kawhi Leonard,LAC,OKC,SG,assists,under,A,valid,True,False,1,1,1.0,0.508,nba_api_gamelog,3.6,,3.5,+126,-157,,0,0,
2026-04-08,Cooper Flagg,DAL,PHX,SG,assists,under,A,valid,True,False,1,1,1.0,0.507,nba_api_gamelog,4.5,,5.5,+123,-152,,0,0,
2026-04-08,Devin Booker,PHX,DAL,SF,assists,over,A,valid,True,False,1,1,1.0,0.556,nba_api_gamelog,6.0,,6.5,+112,-134,,0,0,
2026-04-08,Cade Cunningham,DET,MIL,SF,assists,over,A+,valid,True,False,1,1,1.0,0.574,nba_api_gamelog,9.9,,7.5,+129,-159,,0,0,
2026-04-08,James Harden,CLE,ATL,PF,rebounds,over,A,valid,True,False,1,1,1.0,0.544,nba_api_gamelog,4.9,,4.5,+103,-125,,0,0,
2026-04-08,Jalen Johnson,ATL,CLE,PF,assists,over,A,valid,True,False,1,1,1.0,0.543,nba_api_gamelog,8.0,,7.5,-136,+111,,0,0,
2026-04-08,Anthony Edwards,MIN,ORL,PF,assists,under,A,valid,True,False,1,1,1.0,0.517,nba_api_gamelog,3.7,,,,,,0,0,
2026-04-08,Deni Avdija,POR,SAS,PF,rebounds,under,A,valid,True,False,1,1,1.0,0.524,nba_api_gamelog,7.0,,7.5,+105,-129,,0,0,
2026-04-08,James Harden,CLE,ATL,SG,assists,under,B,watchlist,False,False,1,1,1.0,0.397,nba_api_gamelog,8.1,,8.5,+115,-141,,0,0,
2026-04-08,Devin Booker,PHX,DAL,SG,rebounds,over,B,watchlist,False,False,1,1,1.0,0.476,nba_api_gamelog,3.9,,3.5,-139,+114,,0,0,
2026-04-08,Toby Okani,MEM,DEN,SG,rebounds,under,B,watchlist,False,False,1,1,1.0,,unavailable,,,,,,,0,0,
2026-04-08,Kevin Porter Jr.,MIL,DET,SG,rebounds,under,B,watchlist,False,False,1,1,1.0,0.47,nba_api_gamelog,,,,,,,0,0,
2026-04-08,Kevin Porter Jr.,MIL,DET,SG,assists,under,B,watchlist,False,False,1,1,1.0,0.42,nba_api_gamelog,,,,,,,0,0,
2026-04-08,Shai Gilgeous-Alexander,OKC,LAC,SG,rebounds,under,B,watchlist,False,False,1,1,1.0,0.48,nba_api_gamelog,,,3.5,,+132,,0,0,
2026-04-08,Kawhi Leonard,LAC,OKC,SG,rebounds,over,B,watchlist,False,False,1,1,1.0,0.46,nba_api_gamelog,,,6.5,-105,,,0,0,
2026-04-08,Anthony Edwards,MIN,ORL,SG,rebounds,under,B,watchlist,False,False,1,1,1.0,0.42,nba_api_gamelog,,,,,,,0,0,
2026-04-08,Jalen Johnson,ATL,CLE,SF,rebounds,under,B,watchlist,False,False,1,1,1.0,0.47,nba_api_gamelog,,,10.5,,-137,,0,0,
2026-04-08,Jamal Murray,DEN,MEM,SF,rebounds,over,B,watchlist,False,False,1,1,1.0,0.49,nba_api_gamelog,,,4.5,+108,,,0,0,
2026-04-08,Jamal Murray,DEN,MEM,SF,assists,over,B,watchlist,False,False,1,1,1.0,0.39,nba_api_gamelog,,,6.5,,-130,,0,0,
2026-04-08,Cade Cunningham,DET,MIL,SF,rebounds,over,B,watchlist,False,False,1,1,1.0,0.48,nba_api_gamelog,,,3.5,-112,,,0,0,
